Companyname,Companyid,business_development_manager,page_views,offers,orders,company_reply_rate,product_completness,total_order_value_in_euro,monetize_amount,wootric_score,total_points,Groups on Final Points,,cluster
FREE FLUID LTD,9474,Oksana Senchyshyn,0.017397404,0.011389522,0,0.689655172,0.903333333,0,0,0,82.79719984,1,,2
Cinkarna Celje d.d.,11673,Dimitrios Ntounas,0.007435987,0.018223235,0,1,0.57,0,0,0,82.51644629,1,,2
Innua Europe Ltd,1568,Dimitrios Ntounas,0.056401263,0.077448747,0,0.708333333,0.574242424,0,0,0,82.43860045,1,,2
EU AVIATION TECHNOLOGIES B.V.,31632,Oksana Senchyshyn,0.092949842,0,0,0.555555556,1,0,0,0,82.42526989,1,,2
Wistema GmbH,1596,Julian Panchyrz,0.010662925,0.002277904,0,0.916666667,0.712,0,0,0,82.42206046,1,,2
Krahn Chemie Deutschland GmbH,19103,Florian Pagels,0.001332866,0,0,1,0.645,0,0,0,82.31664328,1,,2
"SILON, s.r.o.",3259,Oksana Senchyshyn,0.013188355,0,0,1,0.632222222,0,0,0,82.27052886,1,,2
ALDROIN SL,2114,Juan Alvarado,0.073658365,0,0,1,0.57,0,0,0,82.18291827,1,,2
Libra Speciality Chemicals,15892,Dimitrios Ntounas,0.048965275,0.022779043,0.027272727,1,0.376041667,0.008989866,0,0,82.15968785,1,,2
"G&C Colors, S.A.",7207,Juan Alvarado,0.002735882,0.004555809,0,1,0.620909091,0,0,0,82.09341038,1,,2
Helioenergia Sp. z o.o.,12905,Oksana Senchyshyn,0.008768853,0.004555809,0,1,0.612,0,0,0,81.94960438,1,,2
Goldchem,28978,Dimitrios Ntounas,0.029884251,0.004555809,0.009090909,1,0.55096,0.001354284,0,0,81.90698451,1,,2
Hua-Chem,23502,Julian Panchyrz,0.01704665,0.01594533,0.009090909,1,0.5196,3.01E-05,0,0,81.84258991,1,,2
COLORIFICIO MIGLIAVACCA 1919 SRL,17387,Marcello Sanz,0.002034374,0.01594533,0,1,0.567333333,0,0,0,81.65745142,1,,2
Balthemis,1001,Oksana Senchyshyn,0.094843914,0.01594533,0,0.721804511,0.75,0,0,0,81.52148734,1,,2
BEYAZ KAGIT VE HIJYENIK URUNLER TEMIZLIK INSAAT SAN. TIC. A.S.,31004,Umut Öztürk,0.003016485,0.020501139,0,1,0.542,0,0,0,81.35105206,1,,2
Bozzetto Group,984,Marcello Sanz,0.010382322,0.011389522,0,1,0.57,0,0,0,81.29702043,1,,2
Blue Bear Chemicals Bv,284,Juan Alvarado,0.003016485,0.006833713,0,1,0.595,0,0,0,81.26756687,1,,2
Hanke + Seidel GmbH & Co. KG,19556,Julian Panchyrz,0.081024202,0.063781321,0,1,0.283073395,0,0,0,80.96114406,1,,2
Newport Industries Ltd,15339,Dimitrios Ntounas,0.010452473,0,0,1,0.608181818,0,0,0,80.93171455,1,,2
TER Chemicals Distribution Group,1853,Florian Pagels,0.113644335,0.063781321,0.018181818,0.880597015,0.294819277,0,0,0,80.84565924,1,,2
Lidorr Elements,6519,Tunahan Güzel,0.048684672,0.011389522,0,1,0.517027027,0,0,0,80.56348928,1,,2
Alcotra Europe SA,14814,Houcem Bakkari,0.023149772,0.004555809,0,0.709677419,0.86,0,0,0,80.5525213,1,,2
Marubeni,11321,Houcem Bakkari,0.019361627,0.006833713,0.009090909,0.863636364,0.658,0,0,0,80.23482397,1,,2
